TIMESTAMPms	M32RAWIMU0xacc	M32RAWIMU0yacc	M32RAWIMU0zacc
626	6.000000000000000e+00	-4.000000000000000e+01	4.135000000000000e+03
690	1.100000000000000e+01	-3.300000000000000e+01	4.146000000000000e+03
790	7.000000000000000e+00	-3.300000000000000e+01	4.133000000000000e+03
991	1.100000000000000e+01	-3.600000000000000e+01	4.139000000000000e+03
1392	5.000000000000000e+00	-3.400000000000000e+01	4.141000000000000e+03
1633	9.000000000000000e+00	-3.400000000000000e+01	4.134000000000000e+03
1695	1.000000000000000e+01	-3.100000000000000e+01	4.126000000000000e+03
1791	3.000000000000000e+00	-3.500000000000000e+01	4.133000000000000e+03
1991	9.000000000000000e+00	-4.100000000000000e+01	4.136000000000000e+03
2391	5.000000000000000e+00	-3.500000000000000e+01	4.133000000000000e+03
2624	8.000000000000000e+00	-4.200000000000000e+01	4.136000000000000e+03
2691	4.000000000000000e+00	-3.800000000000000e+01	4.127000000000000e+03
2991	1.000000000000000e+01	-3.700000000000000e+01	4.142000000000000e+03
3191	1.000000000000000e+00	-3.900000000000000e+01	4.133000000000000e+03
3391	2.000000000000000e+00	-4.000000000000000e+01	4.137000000000000e+03
3591	7.000000000000000e+00	-3.900000000000000e+01	4.142000000000000e+03
3691	4.000000000000000e+00	-4.200000000000000e+01	4.131000000000000e+03
3792	7.000000000000000e+00	-3.300000000000000e+01	4.135000000000000e+03
3992	1.100000000000000e+01	-3.400000000000000e+01	4.136000000000000e+03
4391	1.900000000000000e+01	-3.200000000000000e+01	4.132000000000000e+03
4591	8.000000000000000e+00	-3.800000000000000e+01	4.136000000000000e+03
4691	9.000000000000000e+00	-3.700000000000000e+01	4.126000000000000e+03
4791	-6.000000000000000e+00	-4.000000000000000e+01	4.136000000000000e+03
4992	5.000000000000000e+00	-4.400000000000000e+01	4.131000000000000e+03
5391	5.000000000000000e+00	-4.500000000000000e+01	4.126000000000000e+03
5591	8.000000000000000e+00	-3.800000000000000e+01	4.133000000000000e+03
5691	8.000000000000000e+00	-3.800000000000000e+01	4.135000000000000e+03
5791	0.000000000000000e+00	-3.600000000000000e+01	4.139000000000000e+03
6192	7.000000000000000e+00	-4.000000000000000e+01	4.139000000000000e+03
6391	7.000000000000000e+00	-3.600000000000000e+01	4.148000000000000e+03
6590	1.000000000000000e+00	-3.500000000000000e+01	4.139000000000000e+03
6701	5.000000000000000e+00	-3.900000000000000e+01	4.146000000000000e+03
6990	-3.000000000000000e+00	-4.000000000000000e+01	4.136000000000000e+03
7190	4.000000000000000e+00	-4.200000000000000e+01	4.132000000000000e+03
7391	7.000000000000000e+00	-4.100000000000000e+01	4.137000000000000e+03
7590	7.000000000000000e+00	-4.100000000000000e+01	4.130000000000000e+03
7716	5.000000000000000e+00	-3.800000000000000e+01	4.128000000000000e+03
7790	1.100000000000000e+01	-3.400000000000000e+01	4.130000000000000e+03
7990	8.000000000000000e+00	-4.100000000000000e+01	4.121000000000000e+03
8391	1.000000000000000e+00	-4.400000000000000e+01	4.135000000000000e+03
8590	4.000000000000000e+00	-3.800000000000000e+01	4.134000000000000e+03
8732	4.000000000000000e+00	-3.900000000000000e+01	4.134000000000000e+03
8791	1.000000000000000e+01	-4.200000000000000e+01	4.138000000000000e+03
9190	3.000000000000000e+00	-4.300000000000000e+01	4.139000000000000e+03
9390	1.500000000000000e+01	-4.000000000000000e+01	4.135000000000000e+03
9590	3.000000000000000e+00	-4.400000000000000e+01	4.143000000000000e+03
9721	6.000000000000000e+00	-3.600000000000000e+01	4.133000000000000e+03
9790	4.000000000000000e+00	-4.000000000000000e+01	4.129000000000000e+03
9990	2.000000000000000e+00	-4.300000000000000e+01	4.131000000000000e+03
10390	-4.000000000000000e+00	-3.900000000000000e+01	4.132000000000000e+03
10590	6.000000000000000e+00	-4.600000000000000e+01	4.127000000000000e+03
10690	3.000000000000000e+00	-4.200000000000000e+01	4.136000000000000e+03
10790	6.000000000000000e+00	-3.800000000000000e+01	4.135000000000000e+03
10990	7.000000000000000e+00	-4.500000000000000e+01	4.136000000000000e+03
11391	2.000000000000000e+00	-4.000000000000000e+01	4.141000000000000e+03
11597	7.000000000000000e+00	-4.000000000000000e+01	4.135000000000000e+03
11691	3.000000000000000e+00	-4.100000000000000e+01	4.140000000000000e+03
11791	9.000000000000000e+00	-4.300000000000000e+01	4.141000000000000e+03
11991	2.000000000000000e+00	-4.000000000000000e+01	4.139000000000000e+03
12395	7.000000000000000e+00	-4.400000000000000e+01	4.125000000000000e+03
12591	7.000000000000000e+00	-4.500000000000000e+01	4.126000000000000e+03
12691	9.000000000000000e+00	-4.300000000000000e+01	4.127000000000000e+03
12791	5.000000000000000e+00	-4.200000000000000e+01	4.137000000000000e+03
12991	3.000000000000000e+00	-4.300000000000000e+01	4.136000000000000e+03
13391	2.000000000000000e+00	-4.400000000000000e+01	4.136000000000000e+03
13596	4.000000000000000e+00	-4.600000000000000e+01	4.135000000000000e+03
13691	3.000000000000000e+00	-4.700000000000000e+01	4.141000000000000e+03
13800	4.000000000000000e+00	-4.600000000000000e+01	4.131000000000000e+03
13991	3.000000000000000e+00	-4.000000000000000e+01	4.140000000000000e+03
14391	6.000000000000000e+00	-4.000000000000000e+01	4.140000000000000e+03
14590	5.000000000000000e+00	-4.000000000000000e+01	4.134000000000000e+03
14690	6.000000000000000e+00	-4.200000000000000e+01	4.134000000000000e+03
14818	5.000000000000000e+00	-3.900000000000000e+01	4.133000000000000e+03
14990	8.000000000000000e+00	-4.100000000000000e+01	4.128000000000000e+03
15391	6.000000000000000e+00	-4.200000000000000e+01	4.125000000000000e+03
15590	7.000000000000000e+00	-4.200000000000000e+01	4.126000000000000e+03
15701	0.000000000000000e+00	-4.500000000000000e+01	4.129000000000000e+03
15830	4.000000000000000e+00	-4.400000000000000e+01	4.133000000000000e+03
16191	4.000000000000000e+00	-3.700000000000000e+01	4.136000000000000e+03
16391	0.000000000000000e+00	-4.800000000000000e+01	4.139000000000000e+03
16590	3.000000000000000e+00	-4.600000000000000e+01	4.136000000000000e+03
16690	2.000000000000000e+00	-4.200000000000000e+01	4.139000000000000e+03
16823	1.000000000000000e+00	-4.200000000000000e+01	4.137000000000000e+03
16990	4.000000000000000e+00	-4.500000000000000e+01	4.137000000000000e+03
17390	5.000000000000000e+00	-4.200000000000000e+01	4.132000000000000e+03
17590	-1.000000000000000e+00	-4.200000000000000e+01	4.139000000000000e+03
17690	4.000000000000000e+00	-3.400000000000000e+01	4.128000000000000e+03
17790	4.000000000000000e+00	-3.800000000000000e+01	4.129000000000000e+03
17990	1.000000000000000e+01	-4.400000000000000e+01	4.133000000000000e+03
18391	6.000000000000000e+00	-4.500000000000000e+01	4.126000000000000e+03
18590	1.000000000000000e+00	-4.100000000000000e+01	4.132000000000000e+03
18690	5.000000000000000e+00	-4.300000000000000e+01	4.125000000000000e+03
18800	3.000000000000000e+00	-4.300000000000000e+01	4.137000000000000e+03
18990	5.000000000000000e+00	-4.700000000000000e+01	4.137000000000000e+03
19390	1.000000000000000e+00	-4.500000000000000e+01	4.135000000000000e+03
19590	1.000000000000000e+00	-4.200000000000000e+01	4.139000000000000e+03
19690	4.000000000000000e+00	-4.500000000000000e+01	4.142000000000000e+03
19803	4.000000000000000e+00	-4.100000000000000e+01	4.145000000000000e+03
19990	-1.000000000000000e+00	-4.900000000000000e+01	4.147000000000000e+03
20390	2.000000000000000e+00	-4.000000000000000e+01	4.137000000000000e+03
20591	1.000000000000000e+00	-4.300000000000000e+01	4.141000000000000e+03
20693	4.000000000000000e+00	-4.200000000000000e+01	4.137000000000000e+03
20790	4.000000000000000e+00	-4.000000000000000e+01	4.139000000000000e+03
20990	4.000000000000000e+00	-4.000000000000000e+01	4.138000000000000e+03
21391	4.000000000000000e+00	-3.900000000000000e+01	4.134000000000000e+03
21590	6.000000000000000e+00	-4.300000000000000e+01	4.124000000000000e+03
21691	4.000000000000000e+00	-4.300000000000000e+01	4.142000000000000e+03
21790	1.000000000000000e+00	-4.000000000000000e+01	4.135000000000000e+03
