TIMESTAMPms	M32RAWIMU0xacc	M32RAWIMU0yacc	M32RAWIMU0zacc
374	-4.149000000000000e+03	-4.490000000000000e+02	-3.750000000000000e+02
574	-4.150000000000000e+03	-4.520000000000000e+02	-3.860000000000000e+02
773	-4.162000000000000e+03	-4.530000000000000e+02	-3.730000000000000e+02
974	-4.142000000000000e+03	-4.610000000000000e+02	-3.900000000000000e+02
1175	-4.145000000000000e+03	-4.560000000000000e+02	-3.810000000000000e+02
1378	-4.150000000000000e+03	-4.600000000000000e+02	-3.830000000000000e+02
1573	-4.153000000000000e+03	-4.640000000000000e+02	-3.690000000000000e+02
1773	-4.159000000000000e+03	-4.600000000000000e+02	-3.600000000000000e+02
1973	-4.148000000000000e+03	-4.640000000000000e+02	-3.780000000000000e+02
2173	-4.146000000000000e+03	-4.680000000000000e+02	-3.720000000000000e+02
2381	-4.146000000000000e+03	-4.670000000000000e+02	-3.720000000000000e+02
2573	-4.145000000000000e+03	-4.670000000000000e+02	-3.840000000000000e+02
2773	-4.154000000000000e+03	-4.560000000000000e+02	-3.750000000000000e+02
2973	-4.142000000000000e+03	-4.580000000000000e+02	-3.990000000000000e+02
3173	-4.140000000000000e+03	-4.580000000000000e+02	-3.920000000000000e+02
3373	-4.146000000000000e+03	-4.560000000000000e+02	-4.130000000000000e+02
3573	-4.152000000000000e+03	-4.560000000000000e+02	-3.910000000000000e+02
3773	-4.142000000000000e+03	-4.610000000000000e+02	-4.060000000000000e+02
3974	-4.149000000000000e+03	-4.570000000000000e+02	-4.100000000000000e+02
4173	-4.150000000000000e+03	-4.620000000000000e+02	-4.140000000000000e+02
4373	-4.147000000000000e+03	-4.640000000000000e+02	-4.000000000000000e+02
4573	-4.148000000000000e+03	-4.660000000000000e+02	-3.840000000000000e+02
4773	-4.151000000000000e+03	-4.680000000000000e+02	-3.940000000000000e+02
4973	-4.158000000000000e+03	-4.610000000000000e+02	-3.920000000000000e+02
5173	-4.148000000000000e+03	-4.620000000000000e+02	-3.900000000000000e+02
5373	-4.147000000000000e+03	-4.600000000000000e+02	-3.820000000000000e+02
5573	-4.153000000000000e+03	-4.580000000000000e+02	-3.990000000000000e+02
5774	-4.151000000000000e+03	-4.520000000000000e+02	-3.940000000000000e+02
5973	-4.154000000000000e+03	-4.510000000000000e+02	-4.090000000000000e+02
6173	-4.145000000000000e+03	-4.530000000000000e+02	-4.240000000000000e+02
6373	-4.158000000000000e+03	-4.380000000000000e+02	-4.240000000000000e+02
6573	-4.136000000000000e+03	-4.450000000000000e+02	-4.190000000000000e+02
6773	-4.150000000000000e+03	-4.410000000000000e+02	-4.090000000000000e+02
6973	-4.154000000000000e+03	-4.420000000000000e+02	-4.180000000000000e+02
7174	-4.148000000000000e+03	-4.450000000000000e+02	-4.260000000000000e+02
7374	-4.155000000000000e+03	-4.380000000000000e+02	-4.220000000000000e+02
7574	-4.150000000000000e+03	-4.420000000000000e+02	-4.300000000000000e+02
7774	-4.148000000000000e+03	-4.420000000000000e+02	-4.240000000000000e+02
7974	-4.145000000000000e+03	-4.490000000000000e+02	-4.250000000000000e+02
8173	-4.157000000000000e+03	-4.440000000000000e+02	-4.150000000000000e+02
8373	-4.150000000000000e+03	-4.530000000000000e+02	-4.230000000000000e+02
8573	-4.152000000000000e+03	-4.530000000000000e+02	-4.100000000000000e+02
