TIMESTAMPms	M32RAWIMU0xacc	M32RAWIMU0yacc	M32RAWIMU0zacc
400	-2.300000000000000e+02	-4.136000000000000e+03	1.400000000000000e+01
615	-2.420000000000000e+02	-4.135000000000000e+03	2.100000000000000e+01
800	-2.350000000000000e+02	-4.137000000000000e+03	3.200000000000000e+01
1005	-2.400000000000000e+02	-4.133000000000000e+03	3.500000000000000e+01
1202	-2.350000000000000e+02	-4.137000000000000e+03	2.900000000000000e+01
1400	-2.390000000000000e+02	-4.135000000000000e+03	3.000000000000000e+01
1600	-2.380000000000000e+02	-4.134000000000000e+03	2.300000000000000e+01
1800	-2.340000000000000e+02	-4.136000000000000e+03	2.400000000000000e+01
2000	-2.340000000000000e+02	-4.137000000000000e+03	1.100000000000000e+01
2200	-2.400000000000000e+02	-4.133000000000000e+03	1.100000000000000e+01
2400	-2.380000000000000e+02	-4.139000000000000e+03	7.000000000000000e+00
2600	-2.400000000000000e+02	-4.134000000000000e+03	1.200000000000000e+01
2800	-2.380000000000000e+02	-4.132000000000000e+03	1.500000000000000e+01
3000	-2.380000000000000e+02	-4.132000000000000e+03	8.000000000000000e+00
3200	-2.410000000000000e+02	-4.129000000000000e+03	2.000000000000000e+00
3400	-2.330000000000000e+02	-4.133000000000000e+03	1.400000000000000e+01
3600	-2.370000000000000e+02	-4.137000000000000e+03	1.600000000000000e+01
3800	-2.410000000000000e+02	-4.133000000000000e+03	1.500000000000000e+01
4000	-2.380000000000000e+02	-4.141000000000000e+03	1.600000000000000e+01
4200	-2.470000000000000e+02	-4.138000000000000e+03	0.000000000000000e+00
4400	-2.440000000000000e+02	-4.138000000000000e+03	-5.000000000000000e+00
4600	-2.440000000000000e+02	-4.139000000000000e+03	5.000000000000000e+00
4800	-2.450000000000000e+02	-4.139000000000000e+03	0.000000000000000e+00
5000	-2.430000000000000e+02	-4.137000000000000e+03	7.000000000000000e+00
5200	-2.420000000000000e+02	-4.138000000000000e+03	1.300000000000000e+01
5399	-2.420000000000000e+02	-4.133000000000000e+03	9.000000000000000e+00
5600	-2.410000000000000e+02	-4.137000000000000e+03	1.200000000000000e+01
5800	-2.350000000000000e+02	-4.139000000000000e+03	1.500000000000000e+01
5999	-2.330000000000000e+02	-4.139000000000000e+03	1.400000000000000e+01
6199	-2.340000000000000e+02	-4.140000000000000e+03	1.600000000000000e+01
6399	-2.400000000000000e+02	-4.135000000000000e+03	2.200000000000000e+01
6600	-2.490000000000000e+02	-4.135000000000000e+03	1.500000000000000e+01
6799	-2.370000000000000e+02	-4.136000000000000e+03	1.800000000000000e+01
6999	-2.410000000000000e+02	-4.139000000000000e+03	-4.000000000000000e+00
7199	-2.420000000000000e+02	-4.136000000000000e+03	-9.000000000000000e+00
7399	-2.420000000000000e+02	-4.138000000000000e+03	5.000000000000000e+00
7599	-2.400000000000000e+02	-4.135000000000000e+03	1.000000000000000e+00
7799	-2.460000000000000e+02	-4.140000000000000e+03	-6.000000000000000e+00
7999	-2.450000000000000e+02	-4.138000000000000e+03	4.000000000000000e+00
8207	-2.430000000000000e+02	-4.138000000000000e+03	1.700000000000000e+01
8399	-2.440000000000000e+02	-4.137000000000000e+03	1.500000000000000e+01
8599	-2.370000000000000e+02	-4.139000000000000e+03	1.700000000000000e+01
8799	-2.380000000000000e+02	-4.132000000000000e+03	2.200000000000000e+01
8999	-2.410000000000000e+02	-4.140000000000000e+03	1.800000000000000e+01
9199	-2.380000000000000e+02	-4.134000000000000e+03	1.500000000000000e+01
9399	-2.370000000000000e+02	-4.141000000000000e+03	1.300000000000000e+01
9599	-2.320000000000000e+02	-4.137000000000000e+03	1.200000000000000e+01
9800	-2.340000000000000e+02	-4.139000000000000e+03	1.800000000000000e+01
10000	-2.430000000000000e+02	-4.135000000000000e+03	1.100000000000000e+01
10200	-2.350000000000000e+02	-4.137000000000000e+03	1.400000000000000e+01
10400	-2.420000000000000e+02	-4.131000000000000e+03	1.900000000000000e+01
10602	-2.400000000000000e+02	-4.139000000000000e+03	1.300000000000000e+01
10800	-2.440000000000000e+02	-4.133000000000000e+03	1.800000000000000e+01
11000	-2.410000000000000e+02	-4.134000000000000e+03	2.000000000000000e+01
11200	-2.420000000000000e+02	-4.137000000000000e+03	2.600000000000000e+01
11400	-2.400000000000000e+02	-4.140000000000000e+03	2.200000000000000e+01
11600	-2.380000000000000e+02	-4.141000000000000e+03	2.200000000000000e+01
11806	-2.390000000000000e+02	-4.134000000000000e+03	2.200000000000000e+01
12000	-2.300000000000000e+02	-4.136000000000000e+03	2.000000000000000e+01
12200	-2.380000000000000e+02	-4.134000000000000e+03	1.700000000000000e+01
12400	-2.330000000000000e+02	-4.135000000000000e+03	1.800000000000000e+01
12600	-2.410000000000000e+02	-4.132000000000000e+03	2.200000000000000e+01
12799	-2.430000000000000e+02	-4.135000000000000e+03	1.900000000000000e+01
13005	-2.330000000000000e+02	-4.136000000000000e+03	1.500000000000000e+01
13200	-2.320000000000000e+02	-4.132000000000000e+03	2.900000000000000e+01
13399	-2.330000000000000e+02	-4.133000000000000e+03	2.700000000000000e+01
13599	-2.320000000000000e+02	-4.137000000000000e+03	3.500000000000000e+01
13799	-2.310000000000000e+02	-4.136000000000000e+03	2.900000000000000e+01
13999	-2.370000000000000e+02	-4.138000000000000e+03	3.000000000000000e+01
14204	-2.380000000000000e+02	-4.131000000000000e+03	3.000000000000000e+01
14399	-2.380000000000000e+02	-4.133000000000000e+03	2.600000000000000e+01
14599	-2.340000000000000e+02	-4.135000000000000e+03	2.100000000000000e+01
14810	-2.310000000000000e+02	-4.133000000000000e+03	2.100000000000000e+01
14999	-2.280000000000000e+02	-4.130000000000000e+03	2.200000000000000e+01
15199	-2.360000000000000e+02	-4.134000000000000e+03	1.100000000000000e+01
15404	-2.340000000000000e+02	-4.134000000000000e+03	1.700000000000000e+01
15599	-2.350000000000000e+02	-4.140000000000000e+03	2.700000000000000e+01
15799	-2.390000000000000e+02	-4.132000000000000e+03	2.800000000000000e+01
15999	-2.410000000000000e+02	-4.134000000000000e+03	2.700000000000000e+01
16199	-2.300000000000000e+02	-4.132000000000000e+03	3.900000000000000e+01
16399	-2.360000000000000e+02	-4.132000000000000e+03	4.300000000000000e+01
16605	-2.350000000000000e+02	-4.131000000000000e+03	4.000000000000000e+01
16799	-2.360000000000000e+02	-4.134000000000000e+03	3.100000000000000e+01
16999	-2.340000000000000e+02	-4.138000000000000e+03	3.300000000000000e+01
