TIMESTAMPms	M32RAWIMU0xacc	M32RAWIMU0yacc	M32RAWIMU0zacc
306	-4.600000000000000e+01	-2.600000000000000e+01	-4.165000000000000e+03
400	-4.900000000000000e+01	-2.900000000000000e+01	-4.167000000000000e+03
599	-5.300000000000000e+01	-3.000000000000000e+01	-4.156000000000000e+03
1000	-4.700000000000000e+01	-3.500000000000000e+01	-4.158000000000000e+03
1199	-4.700000000000000e+01	-3.100000000000000e+01	-4.163000000000000e+03
1299	-5.300000000000000e+01	-2.500000000000000e+01	-4.159000000000000e+03
1399	-4.400000000000000e+01	-2.700000000000000e+01	-4.153000000000000e+03
1599	-5.200000000000000e+01	-2.600000000000000e+01	-4.158000000000000e+03
1999	-4.100000000000000e+01	-2.900000000000000e+01	-4.155000000000000e+03
2199	-4.900000000000000e+01	-2.800000000000000e+01	-4.151000000000000e+03
2299	-4.800000000000000e+01	-3.000000000000000e+01	-4.158000000000000e+03
2399	-4.500000000000000e+01	-3.000000000000000e+01	-4.151000000000000e+03
2604	-4.200000000000000e+01	-2.900000000000000e+01	-4.152000000000000e+03
3006	-4.700000000000000e+01	-2.800000000000000e+01	-4.152000000000000e+03
3200	-5.200000000000000e+01	-2.900000000000000e+01	-4.159000000000000e+03
3300	-4.600000000000000e+01	-2.900000000000000e+01	-4.161000000000000e+03
3400	-4.000000000000000e+01	-2.400000000000000e+01	-4.161000000000000e+03
3600	-4.500000000000000e+01	-2.700000000000000e+01	-4.165000000000000e+03
4000	-4.300000000000000e+01	-2.800000000000000e+01	-4.154000000000000e+03
4200	-4.700000000000000e+01	-2.600000000000000e+01	-4.166000000000000e+03
4300	-4.500000000000000e+01	-3.000000000000000e+01	-4.159000000000000e+03
4600	-4.500000000000000e+01	-2.600000000000000e+01	-4.157000000000000e+03
4800	-4.900000000000000e+01	-2.900000000000000e+01	-4.156000000000000e+03
5000	-4.700000000000000e+01	-2.200000000000000e+01	-4.153000000000000e+03
5200	-4.600000000000000e+01	-3.100000000000000e+01	-4.150000000000000e+03
5300	-4.900000000000000e+01	-2.900000000000000e+01	-4.155000000000000e+03
5400	-4.700000000000000e+01	-3.100000000000000e+01	-4.145000000000000e+03
5800	-4.700000000000000e+01	-3.300000000000000e+01	-4.149000000000000e+03
6000	-4.600000000000000e+01	-3.000000000000000e+01	-4.150000000000000e+03
6203	-4.800000000000000e+01	-2.700000000000000e+01	-4.157000000000000e+03
6300	-4.300000000000000e+01	-2.700000000000000e+01	-4.164000000000000e+03
6400	-4.500000000000000e+01	-2.700000000000000e+01	-4.159000000000000e+03
6600	-5.000000000000000e+01	-2.500000000000000e+01	-4.156000000000000e+03
7000	-4.500000000000000e+01	-2.700000000000000e+01	-4.165000000000000e+03
7199	-4.400000000000000e+01	-2.600000000000000e+01	-4.161000000000000e+03
7301	-4.800000000000000e+01	-2.500000000000000e+01	-4.150000000000000e+03
7403	-5.100000000000000e+01	-2.700000000000000e+01	-4.161000000000000e+03
7599	-4.500000000000000e+01	-2.700000000000000e+01	-4.155000000000000e+03
8000	-4.600000000000000e+01	-2.700000000000000e+01	-4.158000000000000e+03
8199	-4.600000000000000e+01	-3.000000000000000e+01	-4.152000000000000e+03
8299	-5.200000000000000e+01	-2.600000000000000e+01	-4.150000000000000e+03
8399	-4.600000000000000e+01	-2.800000000000000e+01	-4.156000000000000e+03
8603	-5.100000000000000e+01	-3.000000000000000e+01	-4.147000000000000e+03
9004	-4.800000000000000e+01	-2.900000000000000e+01	-4.146000000000000e+03
9199	-5.000000000000000e+01	-2.900000000000000e+01	-4.153000000000000e+03
9300	-4.500000000000000e+01	-2.900000000000000e+01	-4.151000000000000e+03
9399	-4.700000000000000e+01	-2.900000000000000e+01	-4.152000000000000e+03
9599	-4.200000000000000e+01	-2.800000000000000e+01	-4.156000000000000e+03
10035	-4.500000000000000e+01	-2.600000000000000e+01	-4.161000000000000e+03
10199	-4.500000000000000e+01	-3.300000000000000e+01	-4.158000000000000e+03
10299	-4.100000000000000e+01	-2.600000000000000e+01	-4.167000000000000e+03
10399	-4.200000000000000e+01	-2.700000000000000e+01	-4.156000000000000e+03
10811	-4.400000000000000e+01	-3.200000000000000e+01	-4.165000000000000e+03
10812	-5.000000000000000e+01	-2.900000000000000e+01	-4.159000000000000e+03
11199	-3.800000000000000e+01	-3.300000000000000e+01	-4.156000000000000e+03
11299	-4.000000000000000e+01	-3.500000000000000e+01	-4.158000000000000e+03
