TIMESTAMPms	M32RAWIMU0xacc	M32RAWIMU0yacc	M32RAWIMU0zacc
389	-1.130000000000000e+02	4.034000000000000e+03	-2.400000000000000e+01
589	-1.130000000000000e+02	4.033000000000000e+03	-1.900000000000000e+01
789	-1.110000000000000e+02	4.031000000000000e+03	-2.000000000000000e+01
999	-1.110000000000000e+02	4.035000000000000e+03	-1.700000000000000e+01
1196	-1.110000000000000e+02	4.032000000000000e+03	-1.000000000000000e+01
1389	-1.060000000000000e+02	4.033000000000000e+03	-1.500000000000000e+01
1589	-1.090000000000000e+02	4.029000000000000e+03	-9.000000000000000e+00
1789	-1.180000000000000e+02	4.031000000000000e+03	-6.000000000000000e+00
2010	-1.110000000000000e+02	4.029000000000000e+03	-8.000000000000000e+00
2189	-1.150000000000000e+02	4.031000000000000e+03	-6.000000000000000e+00
2391	-1.120000000000000e+02	4.025000000000000e+03	-7.000000000000000e+00
2589	-1.160000000000000e+02	4.032000000000000e+03	-7.000000000000000e+00
2802	-1.140000000000000e+02	4.034000000000000e+03	-1.000000000000000e+01
3022	-1.140000000000000e+02	4.031000000000000e+03	-2.200000000000000e+01
3189	-1.110000000000000e+02	4.030000000000000e+03	-2.000000000000000e+01
3392	-1.130000000000000e+02	4.032000000000000e+03	-2.400000000000000e+01
3589	-1.130000000000000e+02	4.033000000000000e+03	-1.900000000000000e+01
3789	-1.090000000000000e+02	4.033000000000000e+03	-1.800000000000000e+01
3989	-1.170000000000000e+02	4.033000000000000e+03	-1.600000000000000e+01
4189	-1.150000000000000e+02	4.026000000000000e+03	-1.600000000000000e+01
4389	-1.140000000000000e+02	4.035000000000000e+03	-1.800000000000000e+01
4589	-1.170000000000000e+02	4.031000000000000e+03	-1.000000000000000e+01
4788	-1.160000000000000e+02	4.030000000000000e+03	-4.000000000000000e+00
4988	-1.120000000000000e+02	4.028000000000000e+03	-8.000000000000000e+00
5188	-1.060000000000000e+02	4.027000000000000e+03	-9.000000000000000e+00
5399	-1.180000000000000e+02	4.031000000000000e+03	-7.000000000000000e+00
5588	-1.180000000000000e+02	4.031000000000000e+03	-1.700000000000000e+01
5790	-1.120000000000000e+02	4.030000000000000e+03	-2.300000000000000e+01
5988	-1.110000000000000e+02	4.029000000000000e+03	-2.400000000000000e+01
6188	-1.100000000000000e+02	4.030000000000000e+03	-2.100000000000000e+01
6388	-1.090000000000000e+02	4.033000000000000e+03	-2.300000000000000e+01
6588	-1.130000000000000e+02	4.036000000000000e+03	-2.200000000000000e+01
6790	-1.130000000000000e+02	4.029000000000000e+03	-2.100000000000000e+01
6992	-1.140000000000000e+02	4.033000000000000e+03	-2.400000000000000e+01
7189	-1.140000000000000e+02	4.030000000000000e+03	-2.100000000000000e+01
7389	-1.100000000000000e+02	4.031000000000000e+03	-1.600000000000000e+01
7589	-1.110000000000000e+02	4.032000000000000e+03	-1.500000000000000e+01
7789	-1.130000000000000e+02	4.030000000000000e+03	-1.400000000000000e+01
7997	-1.130000000000000e+02	4.029000000000000e+03	-1.000000000000000e+01
8189	-1.060000000000000e+02	4.033000000000000e+03	-4.000000000000000e+00
8389	-1.140000000000000e+02	4.032000000000000e+03	-1.000000000000000e+01
8589	-1.080000000000000e+02	4.030000000000000e+03	-1.000000000000000e+01
8790	-1.130000000000000e+02	4.032000000000000e+03	-1.800000000000000e+01
8989	-1.180000000000000e+02	4.029000000000000e+03	-2.400000000000000e+01
9189	-1.050000000000000e+02	4.032000000000000e+03	-2.100000000000000e+01
9389	-1.090000000000000e+02	4.032000000000000e+03	-2.700000000000000e+01
9589	-1.120000000000000e+02	4.031000000000000e+03	-1.900000000000000e+01
9790	-1.090000000000000e+02	4.034000000000000e+03	-1.900000000000000e+01
9992	-1.120000000000000e+02	4.030000000000000e+03	-2.200000000000000e+01
10190	-1.050000000000000e+02	4.029000000000000e+03	-2.300000000000000e+01
10388	-1.140000000000000e+02	4.030000000000000e+03	-2.000000000000000e+01
10595	-1.190000000000000e+02	4.027000000000000e+03	-1.600000000000000e+01
10788	-1.160000000000000e+02	4.030000000000000e+03	-2.000000000000000e+01
10988	-1.160000000000000e+02	4.030000000000000e+03	-2.300000000000000e+01
11188	-1.180000000000000e+02	4.030000000000000e+03	-1.900000000000000e+01
11388	-1.140000000000000e+02	4.037000000000000e+03	-2.300000000000000e+01
11588	-1.170000000000000e+02	4.034000000000000e+03	-1.600000000000000e+01
11788	-1.120000000000000e+02	4.027000000000000e+03	-2.400000000000000e+01
11988	-1.120000000000000e+02	4.033000000000000e+03	-2.600000000000000e+01
12188	-1.140000000000000e+02	4.029000000000000e+03	-2.400000000000000e+01
12389	-1.080000000000000e+02	4.027000000000000e+03	-2.200000000000000e+01
12588	-1.100000000000000e+02	4.030000000000000e+03	-2.300000000000000e+01
12788	-1.140000000000000e+02	4.034000000000000e+03	-3.300000000000000e+01
12989	-1.110000000000000e+02	4.034000000000000e+03	-2.600000000000000e+01
13192	-1.170000000000000e+02	4.032000000000000e+03	-2.100000000000000e+01
13388	-1.120000000000000e+02	4.028000000000000e+03	-1.500000000000000e+01
13588	-1.170000000000000e+02	4.031000000000000e+03	-2.200000000000000e+01
13788	-1.090000000000000e+02	4.033000000000000e+03	-1.700000000000000e+01
13988	-1.100000000000000e+02	4.027000000000000e+03	-1.000000000000000e+01
14195	-1.140000000000000e+02	4.027000000000000e+03	-1.100000000000000e+01
14388	-1.150000000000000e+02	4.028000000000000e+03	-1.900000000000000e+01
14588	-1.120000000000000e+02	4.027000000000000e+03	-1.900000000000000e+01
14788	-1.080000000000000e+02	4.032000000000000e+03	-1.700000000000000e+01
14988	-1.050000000000000e+02	4.031000000000000e+03	-2.100000000000000e+01
15210	-1.120000000000000e+02	4.032000000000000e+03	-2.100000000000000e+01
15394	-1.110000000000000e+02	4.030000000000000e+03	-2.500000000000000e+01
15588	-1.130000000000000e+02	4.036000000000000e+03	-1.900000000000000e+01
15788	-1.150000000000000e+02	4.030000000000000e+03	-2.500000000000000e+01
15988	-1.130000000000000e+02	4.028000000000000e+03	-1.700000000000000e+01
16205	-1.070000000000000e+02	4.028000000000000e+03	-2.500000000000000e+01
16388	-1.090000000000000e+02	4.028000000000000e+03	-2.000000000000000e+01
16638	-1.120000000000000e+02	4.028000000000000e+03	-1.300000000000000e+01
16789	-1.200000000000000e+02	4.033000000000000e+03	-1.800000000000000e+01
